"No.","Time","Source","Destination","Protocol","Length","Info"
"12","22.027841860","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"13","24.030407616","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"14","26.032957897","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"15","28.035518533","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"16","30.038117371","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"17","32.030524966","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"18","34.033074266","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"19","36.035642338","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"20","38.038209409","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"21","40.040718275","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"22","42.043264872","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
